Age group,State,City,Location,Activity,Duration,Budget,Rating
61-65,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,10,2893,2
41-45,New Mexico,Santa Fe,Santa Fe Plaza,Sightseeing,6,1314,4
21-25,Nevada,Reno,Lake Tahoe,Boating,1,163,4
26-30,Michigan,Ann Arbor,University of Michigan,Sightseeing,14,1987,5
36-40,Nebraska,Lincoln,Sunken Gardens,Sightseeing,10,2243,4
61-65,Nevada,Las Vegas,The Strip,Theme Parks,3,909,3
56-60,Massachusetts,Boston,Fenway Park,Boating,7,1495,2
26-30,Florida,Miami,Miami Beach,Boating,5,666,3
26-30,Massachusetts,Boston,Freedom Trail,Boating,7,1095,3
51-55,Oregon,Portland,Portland Japanese Garden,Hiking,13,3119,2
51-55,Colorado,Denver,Rocky Mountain National Park,Theme Parks,9,2298,3
66-70,Washington,Seattle,Pike Place Market,Hiking,1,316,1
51-55,Texas,Houston,Space Center,Hiking,10,1960,1
46-50,Massachusetts,Cambridge,Harvard University,Sightseeing,13,2597,2
66-70,Indiana,Bloomington,Monroe Lake,Sightseeing,14,4689,2
26-30,Colorado,Denver,Rocky Mountain National Park,Boating,2,281,5
46-50,Michigan,Detroit,The Detroit Institute of Arts,Sightseeing,14,2654,3
46-50,Florida,Miami,Miami Beach,Hiking,11,2882,3
21-25,Michigan,Ann Arbor,University of Michigan,Boating,7,872,4
26-30,New York,New York City,Empire State Building,Theme Parks,1,179,1
26-30,Michigan,Ann Arbor,University of Michigan,Sightseeing,5,855,1
41-45,New York,Buffalo,Buffalo Zoo,Theme Parks,5,1023,2
21-25,Washington,Seattle,Pike Place Market,Museum,4,588,5
66-70,Oregon,Eugene,Mount Pisgah,Boating,7,1781,2
41-45,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,14,3012,5
56-60,Washington,Spokane,Manito Park,Hiking,6,1781,4
56-60,Oregon,Eugene,Mount Pisgah,Theme Parks,5,1462,3
26-30,Colorado,Denver,Rocky Mountain National Park,Sightseeing,13,2180,2
56-60,Nevada,Las Vegas,Red Rock Canyon,Sightseeing,14,3904,3
61-65,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,11,2582,5
66-70,Tennessee,Nashville,Grand Ole Opry,Boating,9,2854,3
31-35,Tennessee,Nashville,Grand Ole Opry,Boating,10,1936,3
41-45,New York,New York City,Central Park,Museum,8,1875,1
36-40,Texas,Dallas,The Sixth Floor Museum,Hiking,4,880,4
46-50,Nevada,Reno,Lake Tahoe,Museum,11,2103,2
21-25,Nevada,Reno,Lake Tahoe,Museum,14,2348,2
56-60,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,1,305,4
26-30,California,San Francisco,Golden Gate Bridge,Sightseeing,8,1327,5
61-65,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,9,2562,4
46-50,Nebraska,Lincoln,Sunken Gardens,Hiking,8,1786,5
51-55,New Mexico,Santa Fe,Santa Fe Plaza,Museum,6,1385,3
21-25,Nevada,Reno,Lake Tahoe,Museum,12,1869,4
31-35,Massachusetts,Boston,Fenway Park,Visit Historical Sites,9,1648,3
26-30,Washington,Seattle,Space Needle,Boating,5,951,4
51-55,Nebraska,Lincoln,Sunken Gardens,Theme Parks,13,2498,3
41-45,Massachusetts,Boston,Fenway Park,Theme Parks,7,1366,4
36-40,California,Los Angeles,Hollywood,Visit Historical Sites,4,668,4
31-35,Massachusetts,Boston,Fenway Park,Theme Parks,4,675,5
21-25,Nebraska,Lincoln,Sunken Gardens,Museum,1,179,4
41-45,Colorado,Denver,Rocky Mountain National Park,Sightseeing,11,2165,3
56-60,New York,Buffalo,Niagara Falls,Hiking,1,250,3
21-25,California,Los Angeles,Hollywood,Hiking,12,1579,5
56-60,Massachusetts,Cambridge,Harvard University,Hiking,9,1984,5
46-50,Nevada,Reno,Lake Tahoe,Theme Parks,6,1393,4
51-55,California,San Diego,San Diego Zoo,Hiking,11,2545,5
46-50,Nevada,Las Vegas,The Strip,Boating,10,2280,1
61-65,Illinois,Chicago,Willis Tower,Museum,5,1434,1
26-30,Arizona,Phoenix,Desert Botanical Garden,Hiking,12,2089,4
61-65,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,7,1888,3
46-50,Indiana,Indianapolis,Indianapolis Motor Speedway,Visit Historical Sites,11,2021,5
36-40,Tennessee,Nashville,Grand Ole Opry,Hiking,2,429,3
66-70,Nebraska,Omaha,Henry Doorly Zoo,Boating,9,2478,1
21-25,Tennessee,Memphis,Graceland,Boating,11,1355,1
41-45,Massachusetts,Boston,Fenway Park,Hiking,10,2058,4
66-70,New Mexico,Santa Fe,Santa Fe Plaza,Boating,5,1345,4
41-45,Michigan,Detroit,The Detroit Institute of Arts,Visit Historical Sites,1,187,1
46-50,New York,New York City,Empire State Building,Sightseeing,6,1513,4
56-60,Nebraska,Omaha,Henry Doorly Zoo,Theme Parks,14,3538,1
21-25,Texas,Houston,Space Center,Hiking,1,160,5
66-70,Illinois,Chicago,Millennium Park,Hiking,13,3515,3
61-65,Nevada,Reno,Lake Tahoe,Visit Historical Sites,4,875,5
66-70,Texas,Houston,Space Center,Boating,2,656,4
31-35,Texas,Houston,Space Center,Sightseeing,12,2423,2
61-65,Oregon,Portland,Portland Japanese Garden,Museum,10,2203,1
36-40,California,Los Angeles,Santa Monica Pier,Hiking,5,1148,3
41-45,Michigan,Ann Arbor,University of Michigan,Sightseeing,13,2636,4
56-60,Illinois,Chicago,Willis Tower,Museum,4,838,3
56-60,Oregon,Eugene,Mount Pisgah,Sightseeing,2,460,3
46-50,Illinois,Springfield,Lincoln Home National Historic Site,Hiking,7,1717,2
21-25,California,Los Angeles,Santa Monica Pier,Hiking,9,1195,1
61-65,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,10,2396,1
26-30,California,Los Angeles,Hollywood,Hiking,12,2136,1
21-25,New York,New York City,Empire State Building,Museum,6,778,5
36-40,Washington,Spokane,Manito Park,Visit Historical Sites,3,472,1
21-25,New York,New York City,Empire State Building,Theme Parks,7,982,2
66-70,Oregon,Eugene,Mount Pisgah,Boating,13,4430,1
26-30,Washington,Spokane,Manito Park,Boating,7,1006,4
21-25,Arizona,Phoenix,Desert Botanical Garden,Museum,12,1530,4
26-30,Illinois,Chicago,Willis Tower,Museum,12,2016,2
41-45,Michigan,Detroit,The Detroit Institute of Arts,Boating,6,1326,4
41-45,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,13,3149,4
56-60,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,4,891,1
21-25,Nevada,Las Vegas,Red Rock Canyon,Museum,14,2375,3
26-30,Nevada,Reno,Lake Tahoe,Boating,9,1668,4
51-55,California,San Francisco,Golden Gate Bridge,Boating,12,2395,3
21-25,Tennessee,Nashville,Grand Ole Opry,Sightseeing,6,1023,2
21-25,Illinois,Chicago,Millennium Park,Hiking,3,508,2
61-65,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,2,630,1
61-65,Massachusetts,Boston,Fenway Park,Sightseeing,6,1887,2
21-25,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,11,1764,1
36-40,Tennessee,Nashville,Grand Ole Opry,Hiking,11,1825,1
61-65,Arizona,Grand Canyon Village,Grand Canyon,Hiking,8,1987,3
61-65,Oregon,Portland,Portland Japanese Garden,Museum,1,221,2
66-70,Oregon,Eugene,Mount Pisgah,Boating,1,232,1
46-50,California,Los Angeles,Hollywood,Boating,12,3107,3
26-30,Nebraska,Lincoln,Sunken Gardens,Hiking,3,416,4
51-55,Nevada,Reno,Lake Tahoe,Sightseeing,5,1213,4
61-65,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,14,3830,4
36-40,Massachusetts,Cambridge,Harvard University,Museum,11,2503,3
41-45,California,Los Angeles,Hollywood,Boating,6,1406,3
61-65,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,9,2222,4
46-50,Oregon,Eugene,Mount Pisgah,Boating,9,1690,3
31-35,Washington,Spokane,Manito Park,Hiking,11,2155,3
36-40,Florida,Orlando,Universal Studios,Visit Historical Sites,7,1243,5
21-25,California,Los Angeles,Santa Monica Pier,Sightseeing,9,1321,1
51-55,Washington,Spokane,Manito Park,Theme Parks,9,2166,5
36-40,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,10,1634,2
31-35,Nebraska,Omaha,Henry Doorly Zoo,Museum,5,837,3
46-50,Colorado,Denver,Rocky Mountain National Park,Museum,3,557,1
21-25,Washington,Spokane,Manito Park,Theme Parks,2,348,4
51-55,California,San Francisco,Alcatraz Island,Visit Historical Sites,6,1462,3
36-40,Arizona,Grand Canyon Village,Grand Canyon,Museum,14,2192,5
46-50,New York,Buffalo,Niagara Falls,Boating,2,367,5
21-25,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,1,122,3
51-55,Arizona,Grand Canyon Village,Grand Canyon,Visit Historical Sites,12,3269,4
26-30,Illinois,Springfield,Lincoln Home National Historic Site,Sightseeing,8,1583,1
21-25,Illinois,Chicago,Willis Tower,Boating,10,1699,1
61-65,Nevada,Reno,Lake Tahoe,Sightseeing,2,491,5
41-45,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,11,2065,2
31-35,California,San Diego,San Diego Zoo,Boating,6,928,3
26-30,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,9,1436,5
51-55,California,Los Angeles,Hollywood,Hiking,9,2218,2
61-65,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,11,3399,3
41-45,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,2,493,4
46-50,New York,New York City,Empire State Building,Theme Parks,10,2197,5
26-30,Tennessee,Nashville,Grand Ole Opry,Boating,12,1674,3
56-60,Illinois,Springfield,Lincoln Home National Historic Site,Museum,3,658,3
51-55,Oregon,Eugene,Mount Pisgah,Sightseeing,12,2954,5
46-50,Illinois,Chicago,Millennium Park,Visit Historical Sites,10,2627,2
21-25,Illinois,Springfield,Lincoln Home National Historic Site,Sightseeing,8,1334,4
36-40,Nebraska,Lincoln,Sunken Gardens,Theme Parks,13,2276,3
36-40,Tennessee,Memphis,Graceland,Boating,7,1527,4
56-60,California,San Francisco,Golden Gate Bridge,Museum,2,466,5
31-35,Florida,Miami,Everglades,Museum,4,614,3
56-60,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,7,2083,1
51-55,Nevada,Las Vegas,Red Rock Canyon,Boating,2,395,5
21-25,California,San Diego,Balboa Park,Boating,8,1397,2
41-45,California,Los Angeles,Santa Monica Pier,Visit Historical Sites,9,1684,2
41-45,Nebraska,Lincoln,Sunken Gardens,Hiking,14,2613,1
51-55,California,San Francisco,Golden Gate Bridge,Museum,5,1248,1
61-65,Illinois,Chicago,Millennium Park,Sightseeing,11,3212,3
51-55,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,5,1141,4
31-35,Oregon,Eugene,Mount Pisgah,Museum,2,339,4
21-25,New York,Buffalo,Niagara Falls,Boating,2,329,2
66-70,Washington,Seattle,Space Needle,Boating,3,942,5
56-60,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,10,2927,5
51-55,Illinois,Springfield,Lincoln Home National Historic Site,Boating,8,1713,4
51-55,Tennessee,Nashville,Grand Ole Opry,Boating,12,3176,2
41-45,California,San Francisco,Alcatraz Island,Boating,13,2788,1
41-45,Colorado,Denver,Rocky Mountain National Park,Sightseeing,3,673,2
61-65,Iowa,Des Moines,Iowa State Capitol,Museum,12,3300,3
56-60,Tennessee,Memphis,Graceland,Boating,3,659,3
61-65,New Mexico,Santa Fe,Santa Fe Plaza,Museum,11,3449,4
41-45,Washington,Spokane,Manito Park,Visit Historical Sites,5,1087,3
41-45,Florida,Miami,Everglades,Visit Historical Sites,2,375,5
21-25,Illinois,Chicago,Willis Tower,Museum,14,1815,4
46-50,Colorado,Denver,Rocky Mountain National Park,Museum,5,1039,1
21-25,California,Los Angeles,Hollywood,Museum,13,1887,1
26-30,Florida,Miami,Everglades,Boating,10,1853,3
66-70,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,10,2597,3
41-45,Tennessee,Memphis,Graceland,Theme Parks,13,2603,2
26-30,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,10,1787,3
31-35,Washington,Spokane,Manito Park,Boating,13,2569,3
41-45,Massachusetts,Boston,Fenway Park,Theme Parks,9,2017,5
21-25,New York,New York City,Empire State Building,Sightseeing,1,161,5
61-65,Oregon,Eugene,Mount Pisgah,Boating,13,4110,3
26-30,California,San Francisco,Alcatraz Island,Museum,7,1013,1
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,2,452,3
61-65,Massachusetts,Boston,Fenway Park,Boating,6,1893,4
61-65,Washington,Seattle,Pike Place Market,Museum,7,2238,1
41-45,California,San Francisco,Alcatraz Island,Boating,2,444,3
21-25,Florida,Miami,Miami Beach,Visit Historical Sites,12,1578,5
46-50,Michigan,Detroit,The Detroit Institute of Arts,Sightseeing,12,2341,2
21-25,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,14,2015,5
51-55,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Visit Historical Sites,6,1673,1
46-50,Michigan,Detroit,The Detroit Institute of Arts,Boating,1,193,2
